wilayah,jenis_wilayah,tahun,bulan,bulan_ke,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,inflasi_yoy,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,is_bulan_awal_tahun,is_bulan_tengah_tahun,is_bulan_akhir_tahun
Kabupaten Bandung Barat,Kabupaten,2025,Februari,2,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,1,0,0
Kabupaten Bandung Barat,Kabupaten,2025,Maret,3,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,1,0,0
Kabupaten Bandung Barat,Kabupaten,2025,April,4,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,1,0
Kabupaten Bandung Barat,Kabupaten,2025,Mei,5,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,1,0
Kabupaten Bandung Barat,Kabupaten,2025,Juni,6,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,1,0
Kabupaten Bandung Barat,Kabupaten,2025,Juli,7,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,1,0
Kabupaten Bandung Barat,Kabupaten,2025,Agustus,8,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,1,0
Kabupaten Bandung Barat,Kabupaten,2025,September,9,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,0,1
Kabupaten Bandung Barat,Kabupaten,2025,Oktober,10,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,0,1
Kabupaten Bandung Barat,Kabupaten,2025,November,11,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,0,1
Kabupaten Bandung Barat,Kabupaten,2025,Desember,12,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,0,0,1
Kabupaten Bekasi,Kabupaten,2021,Januari,1,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,1,0,0
Kabupaten Bekasi,Kabupaten,2021,Februari,2,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,1,0,0
Kabupaten Bekasi,Kabupaten,2021,Maret,3,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,1,0,0
Kabupaten Bekasi,Kabupaten,2021,April,4,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,1,0
Kabupaten Bekasi,Kabupaten,2021,Mei,5,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,1,0
Kabupaten Bekasi,Kabupaten,2021,Juni,6,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,1,0
Kabupaten Bekasi,Kabupaten,2021,Juli,7,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,1,0
Kabupaten Bekasi,Kabupaten,2021,Agustus,8,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,1,0
Kabupaten Bekasi,Kabupaten,2021,September,9,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,0,1
Kabupaten Bekasi,Kabupaten,2021,Oktober,10,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,0,1
Kabupaten Bekasi,Kabupaten,2021,November,11,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,0,1
Kabupaten Bekasi,Kabupaten,2021,Desember,12,10.09,5.21,0.34,89.77,9.3,13.1,,11.2,15.3,50.485,0,0,1
Kabupaten Bekasi,Kabupaten,2022,Januari,1,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,1,0,0
Kabupaten Bekasi,Kabupaten,2022,Februari,2,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,1,0,0
Kabupaten Bekasi,Kabupaten,2022,Maret,3,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,1,0,0
Kabupaten Bekasi,Kabupaten,2022,April,4,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,1,0
Kabupaten Bekasi,Kabupaten,2022,Mei,5,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,1,0
Kabupaten Bekasi,Kabupaten,2022,Juni,6,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,1,0
Kabupaten Bekasi,Kabupaten,2022,Juli,7,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,1,0
Kabupaten Bekasi,Kabupaten,2022,Agustus,8,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,1,0
Kabupaten Bekasi,Kabupaten,2022,September,9,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,0,1
Kabupaten Bekasi,Kabupaten,2022,Oktober,10,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,0,1
